,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,score
56,N00000102,B,A,D,,,B,C,A,,C,D,B,A,B,A,C,B,D,B,C,,A,B,A,D,69
57,N00000103,B,A,,D,A,B,D,A,C,,D,B,A,B,A,C,B,B,A,C,A,C,B,D,D,77
58,N00000104,B,A,,B,B,B,D,A,C,C,D,B,A,B,A,C,,D,A,C,A,A,B,D,D,82
59,N00000105,B,A,D,D,D,,D,A,C,C,D,B,A,B,A,D,B,D,A,C,A,A,B,D,D,86
60,N00000106,B,A,D,D,C,B,D,A,C,D,B,B,A,B,A,C,B,C,A,C,A,A,B,D,D,85
61,N00000107,B,A,D,D,,B,D,,C,C,D,A,D,C,A,C,B,C,A,C,A,A,B,,C,63
62,N00000108,B,A,,,C,B,D,A,C,D,D,B,A,B,C,C,B,D,A,C,A,A,B,D,D,82
63,N00000109,B,A,D,,C,B,D,A,A,D,,B,B,,A,C,B,D,,C,,A,B,B,,56
64,N00000110,B,A,D,D,C,B,D,A,B,C,,,A,B,A,C,B,D,A,,A,A,B,B,D,78
65,N00000111,D,A,D,D,C,B,A,A,B,C,D,B,B,,A,,B,D,A,C,C,A,B,D,C,62
66,N00000112,,C,D,D,C,B,D,A,C,,D,C,,B,A,,B,D,A,C,A,A,B,D,D,74
67,N00000113,B,A,,D,C,B,D,D,C,D,D,B,A,B,,,B,,A,C,A,D,B,D,D,69
68,N00000114,B,B,D,D,A,B,,A,C,C,D,,A,B,A,C,B,D,A,C,A,A,B,D,B,77
69,N00000115,B,D,D,,C,B,D,C,C,C,C,B,,B,A,C,C,D,A,C,,,D,D,D,59
70,N00000116,B,A,D,D,C,B,D,A,C,C,D,B,A,B,,C,A,D,,C,C,A,B,D,D,82
71,N00000117,B,A,D,D,C,,D,A,D,C,D,B,A,B,A,C,B,D,A,,A,A,B,,,79
72,N00000118,C,B,D,D,C,B,D,A,C,C,D,B,B,B,A,C,B,D,,C,A,A,B,D,D,81
73,N00000119,B,A,D,D,C,B,D,A,,C,D,B,A,B,A,,B,D,A,C,A,A,,D,D,88
74,N00000120,B,A,D,D,C,B,D,A,C,C,D,,A,B,A,A,B,C,,C,A,A,B,D,D,82
75,N00000121,B,,D,A,C,D,,,A,C,D,B,A,B,A,C,B,D,A,,A,C,B,D,D,64
76,N00000122,D,A,D,,C,D,D,A,,C,D,B,A,B,A,C,B,,A,C,D,A,B,D,D,73
77,N00000123,A,A,D,D,C,A,D,A,C,C,D,B,,B,A,C,,D,A,C,B,,B,D,D,73
78,N00000124,B,A,D,D,C,B,D,A,C,C,D,,A,B,A,A,B,D,,C,A,A,B,D,D,87
79,N00000125,B,A,,D,C,B,C,A,B,C,,A,A,C,A,B,B,D,A,C,A,A,B,A,,58
80,N00000126,B,B,D,D,C,B,D,A,C,C,D,B,,B,A,C,B,D,A,C,A,A,B,,D,87
81,N00000127,B,A,D,C,D,,D,A,C,C,D,B,A,B,A,C,B,D,A,A,C,A,B,D,D,76
82,N00000128,B,A,A,A,C,B,D,A,C,C,,B,A,A,A,C,A,D,A,D,A,A,A,D,,62
83,N00000129,B,A,D,A,C,,D,A,C,C,D,B,A,B,A,C,B,A,A,B,A,A,A,D,D,76
84,N00000130,B,A,,D,C,B,D,A,A,B,D,B,A,B,A,,B,D,,C,A,A,B,D,D,78
85,N00000131,,A,,D,C,B,D,A,C,C,,B,A,B,A,B,B,D,A,,A,B,,D,D,70
86,N00000132,B,,D,D,C,B,D,A,C,C,D,B,A,B,A,C,B,D,A,C,A,A,B,D,D,96
87,N00000133,,A,D,D,C,C,,A,A,C,A,,A,B,A,,,D,A,C,A,A,B,D,D,65
88,N00000134,B,A,D,D,A,B,D,A,C,C,D,,A,B,A,C,B,D,A,,D,A,B,D,D,82
89,N00000135,A,,D,D,C,,D,D,C,C,D,C,C,B,A,C,B,D,A,C,A,A,B,D,A,67
90,N00000136,B,,D,D,C,B,A,D,,C,D,B,C,B,A,,B,D,A,C,C,A,B,D,D,68
91,N00000137,B,A,A,D,C,B,D,A,C,C,D,B,A,B,,C,B,D,A,D,A,A,,D,D,82
92,N00000138,B,A,D,D,,C,D,A,C,C,C,B,A,B,A,C,D,D,A,C,A,A,B,D,D,81
93,N00000139,,C,D,D,C,B,B,A,A,C,D,B,D,B,A,C,B,D,A,C,A,A,,D,D,72
94,N00000140,,A,D,D,C,B,D,A,C,C,,B,A,B,A,A,B,B,A,C,,A,A,D,D,73
95,N00000141,B,A,D,,A,B,D,A,,C,D,B,A,B,A,C,B,C,A,C,A,B,B,,D,73
96,N00000142,B,A,,D,C,B,D,A,C,C,,B,A,B,A,C,B,A,A,C,A,A,B,D,D,87
97,N00000143,B,A,A,D,C,B,D,A,C,B,D,B,A,A,A,D,B,D,A,C,A,C,B,D,D,75
98,N00000144,,A,D,,C,B,D,A,,C,D,B,A,B,A,,,D,A,C,A,A,B,D,D,80
99,N00000145,B,B,D,D,C,B,D,A,C,C,D,B,A,B,A,C,B,D,A,C,C,,B,D,C,81
